SMILES,1A2,2C9,2C19,2D6,3A4
CC1=C(/C=C/C(C)=C/C=C(C(\C)=C/C(=O)O)/c2cccc(C(=O)O)c2)C(C)(C)CCC1,,,,,0.0
CC/C=C\Cn1c(=O)c2c(ncn2C)n(C)c1=O,,,,,1.0
Cc1cc(-c2nc3ccccc3o2)cc(C)c1O,,,,,0.0
O=C(O)c1[nH]c(C(=O)O)c(-c2c[nH]c3ccccc23)c1-c1c[nH]c2ccccc12,0.0,,,0.0,
CC(=O)Oc1ccc2c(=O)c(-c3ccccc3)c(C)oc2c1,0.0,0.0,0.0,0.0,0.0
C=C1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]2(C)[C@@]1(OC(C)=O)C(C)=O,,,,,1.0
CCCNC(=O)c1nnc2c(-c3cc(OC)ccc3OC)cccc2c1N,,,,,0.0
CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@H](Cl)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,,,,,1.0
CCC1(c2ccccc2)C(=O)N(C)C(=O)N=C1O,,,1.0,,
NS(=O)(=O)c1nc2ccc(O)cc2s1,,,,,0.0
O=c1[nH]c(=O)n(COCCO)cc1Cc1ccccc1,,0.0,,0.0,
CC1CC[C@@]2(OC1)OC1CC3C4CCC5CC(OC6OC(COC7OC(CO)C(O)C(O)C7O)C(O)C(O)C6O)CC[C@@]5(C)C4CC[C@@]3(C)C1C2C,0.0,0.0,0.0,0.0,0.0
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,,0.0,,1.0,1.0
O=c1[nH]cc(I)c(=O)[nH]1,0.0,,,,
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,,1.0,,0.0,1.0
CCCCCCCCCOC(C)=O,0.0,0.0,0.0,0.0,0.0
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C,,,,,1.0
O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,,,0.0,,
O=C(c1ccc2nccnc2c1)N1CCCCC1,0.0,,0.0,,
COc1cc2c(cc1OS(N)(=O)=O)CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@H]2CC#N,,,,,0.0
CCN(CC)C(=O)SC,1.0,1.0,,1.0,1.0
OC[C@]1(F)OC(F)[C@@H](O)[C@@H](O)[C@@H]1O,,,,,0.0
O=C1N=C(O)CN1/N=C/c1ccc(-c2ccc([N+](=O)[O-])cc2)o1,,,,,1.0
CCN(CC)C(=O)CSc1ccc(Cl)nn1,,,0.0,0.0,
NC(N)=NCC1COc2ccccc2O1,,,,1.0,
OC[C@H]1CNC[C@@H](O)[C@@H]1O,,,,,0.0
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,,0.0,,1.0,1.0
CC(C)(C)NC[C@H](O)COc1cccc2c1CCC(=O)N2,,0.0,,1.0,0.0
Cc1ncsc1CCCl,,0.0,1.0,0.0,1.0
CN(C)c1cn(C)n(-c2ccccc2)c1=O,1.0,1.0,1.0,1.0,1.0
CC(=O)NC1C(O)C[C@](OC2C(O)C(CO)OC(OC(C(O)CO)C(O)C(O)C=O)C2O)(C(=O)O)OC1C(O)C(O)CO,0.0,0.0,0.0,0.0,0.0
COc1cc2c(cc1C(N)=O)CC[C@@H]1[C@@H]2CC[C@]2(C)C=CC[C@@H]12,,0.0,,,
Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,,,,,1.0
CC(C(=O)O)C(=O)OC(CC(=O)[O-])C[N+](C)(C)C,0.0,0.0,0.0,0.0,0.0
O=C(/C=C\C=C\c1ccccc1)CCc1ccccc1,0.0,0.0,0.0,0.0,0.0
CCN(CC)CC#CC(C)(C)OC(=O)[C@@](O)(c1ccccc1)C1CCCCC1,,,,,1.0
CCn1ncc2c(NC3CCOCC3)c(C(=O)NCc3ccccc3)cnc21,,,,,0.0
CCCCN,0.0,0.0,0.0,0.0,0.0
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,,1.0,,,1.0
OC1CN(C2=Nc3ccccc3C(c3ccccc3)=N[C@@H]2c2cccs2)C1,,,,0.0,
CCn1c(Nc2ccccc2Cl)nc2cnc(Nc3c(F)cccc3F)nc21,,,,,0.0
C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,,,,,1.0
CCOC(=O)O[C@]1(C(=O)OCCl)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,,,,1.0
C=C[C@]1(C)C[C@@H](OC(=O)CSC2C[C@@H]3CC[C@H](C2)N3C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,,,,,1.0
