SMILES,3A4
CC1OC(OC2CC[C@]3(C=O)C4C(O)C[C@]5(C)C(C6=CC(=O)OC6)CC[C@@]5(O)C4CC[C@@]3(O)C2)C(O)C(O)C1O,0.0
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,1.0
C=C1CCC2C(OC(=O)[C@]2(O)CO)C2C1CC(O)C2C,0.0
CNCC(=O)OCc1cccnc1N(C)C(=O)OC(C)[n+]1cnn(C[C@](O)(c2cc(F)ccc2F)[C@@H](C)c2nc(-c3ccc(C#N)cc3)cs2)c1,1.0
CC(=O)Oc1ccc2c(=O)c(-c3ccccc3)c(C)oc2c1,0.0
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1.0
C/C=C1\C(O)OC=C(C(=O)OC)C1CC(=O)OCCc1ccc(O)c(O)c1,0.0
COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]21,1.0
COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,1.0
CCCCCCCCCCS(=O)(=O)O,0.0
COc1ccc(CN2CCNCC2)c(OC)c1OC,0.0
O=c1[nH]cnc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)[nH]nc12,0.0
Oc1cc(O)c(-c2noc3ccc(NCCN4CCOCC4)cc23)cc1Cl,0.0
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,1.0
CC(=O)NCC(=O)O,0.0
COc1ccc([C@H](CN(C)C)C2(O)CCCCC2)cc1,1.0
CCOc1ccc(NC(C)=O)cc1,1.0
O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1,0.0
OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,1.0
CO[C@@H]1[C@@H](C(=O)O)O[C@H](O)[C@H](O)[C@H]1O,0.0
Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,0.0
CC(C)(C)c1cc(C[C@H]2SCNC2=O)cc(C(C)(C)C)c1O,1.0
CC(C)=CCC/C(C)=C/Cc1c(CCC(=O)c2ccc(O)cc2O)ccc(O)c1O,0.0
CC(C)COC(=O)c1ccccc1C(=O)O,0.0
OC[C@@H]1O[C@H](O)[C@H](O)[C@H]1O,0.0
O=C(COP(=O)(O)O)[C@@H](O)[C@@H](O)[C@H](O)COP(=O)(O)O,0.0
O=c1sn(-c2cccc3ccccc23)c(=O)n1Cc1ccccc1,0.0
O=NN(CCCl)C(=O)NC1[C@@H](O)CCC[C@H]1O,0.0
Nc1nc(/C(=C/CC(=O)O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=CCS[C@H]23)cs1,0.0
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,0.0
CCCCC/C=C\C=C\C(O)CCCCCCCC(=O)O,0.0
C=C/C=C\C=O,0.0
CC(=O)C(=O)O,0.0
CCCNS(=O)(=O)N=c1nc[nH]c(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,1.0
CC(C)CC(N)C(=O)NCC(=O)O,0.0
O=P(O)(O)OCC(O)C(O)C(O)C(O)CO,0.0
CCCCCCCCOc1ccccc1C(=O)N=C1C=CC(=C(O)OCC[N+](C)(CC)CC)C=C1,1.0
O=C(O)CCCCCCCC(=O)O,0.0
