SMILES,2C19
CC(C)(/C=C/C[C@@](C)(OC1OC(CO)C(O)C(O)C1O)C1CC[C@@]2(C)C1C(O)CC1[C@]3(C)CCC(O)C(C)(C)C3C(O)C[C@@]12C)OO,0.0
CCCCC/C=C\CCCO,0.0
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)NCCO,0.0
Ic1cccc(CNc2c3c(nc4ccccc24)CCCC3)c1,0.0
CC(O)CO,0.0
CNCC[C@H](Oc1ccccc1C)c1ccccc1,1.0
O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,1.0
O=C(O)CCCC(O)/C=C\C=C\C=C\C(O)C/C=C\CCCCC(O)O,0.0
O=C(O)C1CCCN1,0.0
CSc1nc(-c2ccnc(N[C@H](C)c3ccccc3)c2)c(-c2ccc(F)cc2)[nH]1,1.0
Cc1cc2nc[nH]c2cc1C,0.0
CCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1.0
COc1cc2c(CCN3CCN(c4cccc(Cl)c4C)CC3)nn(Cc3c[nH]cn3)c2cc1OC,1.0
C=CC(O)CCCCCCCC(=O)O,0.0
CC(C)/N=C(N)/N=C(\N)NOCCCOc1ccc(OC(F)(F)F)cc1Cl,1.0
CCC(C)C(N)C(=O)NC(CCCNC(=N)N)C(=O)O,0.0
O=C(O)/C=C\C=C/C(=O)O,0.0
CC/C=C\CCOC(=O)C(C)CC,0.0
CCCCCCCCCCCCCCCC(=O)NCC(=O)O,0.0
O=S(=O)(O)Cc1ccccc1,0.0
COc1ccc2c(C(F)(F)F)cc(=O)oc2c1,1.0
CCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,0.0
C[C@H](c1nc(-c2ccc(S(C)(=O)=O)cc2)no1)[C@H](N)C(=O)N1CCCC1,0.0
CSc1ccc2c(c1)N(CC[C@H]1CCCCN1C)c1ccccc1S2,1.0
CC(C)=CCCC(C(=O)O)C1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CCC(O)C(C)(C)C1CC3,0.0
CC(CC[C@@](O)(CO)C(C)C)C1C(O)C[C@@]2(C)C3CCC4[C@](C)(C(=O)O)C(O)CC(O)[C@]45C[C@]35CC[C@]12C,0.0
C=C(C)C1CC(=O)C(C)=C(O)C1,0.0
CCC(C)C(NC(=O)C(CCCNC(=N)N)NC(=O)C(N)CCCNC(=N)N)C(=O)O,0.0
CCC1=C(O)C(=O)CC1,0.0
N=C(N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)CCC2CCCC2)cc1,0.0
O=S(=O)(O)NC1CCCCC1,0.0
CN(CC(=O)O)C(=N)NP(=O)(O)O,0.0
C/C(O)=C1/CC(=O)C2=C1CCCN2,0.0
COC(=O)/C(C)=C\C=C\C(C)=C\C=C\C=C(C)/C=C/C=C(\C)C(=O)OC1OC(CO)C(O)C(O)C1O,0.0
CC(=O)NC1C(O[C@@](C)(COC2OC(C)C(O)C(O)C2O)C(O)C(O)CO)OC(CO)C(O)C1O,0.0
CC[C@@H]1C[C@H]2C[C@@H]3c4[nH]c5ccc(OC)cc5c4CCN(C2)[C@@H]31,1.0
C=C(CCC=C(C)C)C1CC=C(C)CC1,0.0
CN1C(=O)OC(C)(C)C1=O,1.0
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,0.0
O=C(OCC1OC(c2c(O)cc(O)c(C(=O)c3ccc(O)cc3)c2O)C(OC(=O)c2cc(O)c(O)c(O)c2)C(O)C1O)c1cc(O)c(O)c(O)c1,0.0
NCC(=O)c1ccccc1,0.0
CN1CCC2=C(C1)C(c1ccccc1)c1ccccc12,0.0
O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,1.0
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,1.0
CN(C)CCCN1c2ccccc2CCc2ccccc21,1.0
N#CSO,0.0
CN(C)CCCOc1ccc2[nH]nc(S(=O)(=O)c3cccc4ccccc34)c2c1,0.0
CC(CCC(=O)O)C1CCC2C3CCC4C(O)C(O)CC[C@]4(C)C3CC(O)[C@]12C,0.0
N=C(N)c1ccc2nc(-c3ncccc3O)[nH]c2c1,0.0
COc1ccc(F)cc1C[C@@](O)(C1CCOCC1)[C@@H]1CNCCO1,0.0
CC1=CC(=O)CC(C)[C@@]12CCC(=O)C2,0.0
CC(C)CC(c1c(O)c(C=O)c(O)c(C=O)c1O)C1CCC(C)C2=CC(C(C)(C)O)CC[C@@]21C,0.0
COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1,1.0
OCC(O)C(O)C(O)C(O)COCC1OC(O)C(O)C(O)C1O,0.0
CCCCCCCC(O)C(O)CCCCCC(O)C1CCC(CCCCCCCC(O)CC2=CC(C)OC2=O)O1,0.0
Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,1.0
CCCCCCCCCCCCCCCCCCC(=O)CC(O)CCCCC,0.0
C[C@H](CNC(=O)c1ccc(S(N)(=O)=O)cc1)Cn1ccc2ccccc21,0.0
CC(=O)OC1CC(C)=C2C(/C=C(\C)C(=O)O)CCC(C)C21,0.0
Cc1cccc(O)c1,0.0
CC(O)CCO,0.0
Oc1ccc(CCNc2nc(SCCCc3ccc(Cl)cc3)nc(N3CCNCC3)n2)cc1,0.0
COc1ccc2[nH]c([S@](=O)Cc3ncc(C)c(OC)c3C)nc2c1,1.0
Cc1ccc(C(=O)[C@H](C)CN2CCCCC2)cc1,1.0
CCN(CC)S(=O)(=O)c1ccc(Cl)c(C(=O)Nc2sc3c(c2C#N)CCC3)c1,0.0
COCCc1ccc(OC[C@H](O)CNC(C)C)cc1,1.0
Cc1ccnc2c1CCCC2,0.0
CC[Si](C)(C)C,0.0
CC(=O)C[C@H](c1ccccc1)c1c(O)oc2ccccc2c1=O,1.0
Nc1ccccc1O,0.0
CC(C)CCC=O,0.0
COc1ccc(C(c2ccc(O)c(O)c2)C(Cl)(Cl)Cl)cc1,1.0
CC1CC([C@](C)(O)C2CCC3C4C5OC5[C@]5(O)CC=CC(=O)[C@]5(C)C4CC[C@]32C)OC(=O)C1C,0.0
C[C@]12CCC3C(CC=C4CC(O)CC[C@@]43C)C1CCC2C(=O)CO,0.0
COc1c(O)c(C)c(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c(O)c1OC,0.0
O=C(O)Cc1cccc2ccccc12,0.0
